Name,Address,Location,Price,Cuisine,Longitude,Latitude,PhoneNumber,Url,WebsiteUrl,Award,GreenStar,FacilitiesAndServices,Description
"Zén","41 Bukit Pasoh Road, 089855, Singapore",Singapore,$$$$,"European Contemporary",103.84042,1.2796271,+6592366368,https://guide.michelin.com/en/singapore-region/singapore/restaurant/zen,http://www.restaurantzen.com,"3 Stars",0,"Air conditioning,Interesting wine list,Restaurant offering vegetarian menus,Valet parking","The celebrity chef of Frantzén fame opened his third Asian venture in this shophouse (c 1926). Diners are offered an aperitif and amuse-bouche on the first floor, before the eight-course neo-Nordic, seafood-heavy tasting menu with Japanese influences unfolds on the second floor. Fermented food is the leitmotif recurring in Swedish and Japanese diets, and this kitchen uses it occasionally to great effect. The friendly, thoughtful service is also a plus."
Odette,"National Gallery, #01-04, 1 St. Andrew's Road (entrance via Supreme Court wing's foyer), 178957, Singapore",Singapore,$$$$,"French Contemporary",103.8516,1.2896459,+6563850498,https://guide.michelin.com/en/singapore-region/singapore/restaurant/odette,http://www.odetterestaurant.com,"3 Stars",0,"Air conditioning,Car park,Interesting wine list,Restaurant offering vegetarian menus,Wheelchair access","Where better to find a priceless jewel of the Singapore dining scene than in The National Gallery? Chef Julien Royer and his highly accomplished kitchen make wonderful use of luxury ingredients of unimpeachable quality. Creative combinations, impeccable techniques and exquisite plating result in dishes that are as elegant as they are memorable. The understated and graceful room, overseen by a highly polished service team, provides the perfect backdrop."
"Les Amis","Shaw Centre, #01-16, 1 Scotts Road, 228208, Singapore",Singapore,$$$$,French,103.83204,1.30626,+6567332225,https://guide.michelin.com/en/singapore-region/singapore/restaurant/les-amis,https://www.lesamis.com.sg/,"3 Stars",0,"Air conditioning,Car park,Interesting wine list,Restaurant offering vegetarian menus,Valet parking,Wheelchair access","Haute cuisine is increasingly about the chef embracing creative freedom and dictating the whole experience. At the longstanding, singularly sophisticated and world-renowned Les Amis, the choice is yours. The prix-fixe menus present a wide range of modern French classics with occasional Asian twists, in which simple ingredient combinations and seasoning highlight the natural flavours. Consider booking the chef's table for an intimate experience."
"Hiša Franko","Staro selo 1, Kobarid, 5222, Slovenia","Kobarid, Slovenia","€€€€","Creative, Regional Cuisine",13.5382362,46.2472961,+38653894120,https://guide.michelin.com/en/gorizia/kobarid/restaurant/hisa-franko,https://www.hisafranko.com/,"3 Stars",1,"Air conditioning,Car park,Interesting wine list,Wheelchair access","Situated in the lush Soča valley with magnificent mountains as a backdrop, “Franko’s house” boasts a beautiful, welcoming, simple yet elegant ambience from the moment you enter the small room near the entrance where guests can enjoy an aperitif before their meal. Very few cuisines reflect the personality of the chef like that of Ana Roš Stojan. Her strong, determined, extrovert and contagiously friendly character is perfectly mirrored on a long tasting menu, on which dishes have intensive and decisive flavours with no half measures. Each course is a true discovery, in which local and Slovenian ingredients and traditions are skilfully combined with influences from elsewhere in the world with grace, good taste and the chef’s own inimitable style. Following on from the “50 shades of Life” menu (dedicated to the chef’s age), this year’s menu is entitled “50 shades of Red”, a colour which symbolises all the hard work at Hiša Franko, from the red of passion to the cuisine and the service of the brilliant and well-trained young staff. The wine-pairing choices are excellent, with three different options: one based on more classic wines, another which allows guests to explore natural wines and highly individual labels, and a third non-alcoholic option featuring home-made drinks. Among the house specialities which are nearly always present on the menu, don’t miss the corn beignet with fermented cottage cheese and smoked trout roe, and the hay-baked potatoes with fenugreek and roasted yeast-infused sour cream – the latter is a very simple dish that offers an interesting take on a childhood favourite. Should you decide to spend the night here, the copious and highly colourful breakfast is equally recommended."
"Frantzén","Klara Norra Kyrkogata 26, Stockholm, 111 22, Sweden","Stockholm, Sweden","€€€€","Modern Cuisine",18.0597575,59.3341673,+468208580,https://guide.michelin.com/en/stockholm-region/stockholm/restaurant/frantzen,https://www.restaurantfrantzen.com/,"3 Stars",0,"Air conditioning,Counter dining,Interesting wine list","World-renowned Chef Björn Frantzén provides a truly immersive experience that you won't forget in a hurry at his uber-stylish restaurant. Ring the bell to enter, before enjoying an aperitif in the top-floor lounge while the day's ingredients are explained, then head to the dining room with its beautiful counter seating to witness the exceptionally talented chefs at work as they craft creative, perfectly executed dishes. The service works like clockwork to enhance the experience."
noma,"Refshalevej 96, Copenhagen, 1432 K, Denmark","Copenhagen, Denmark","€€€€",Creative,12.6106175,55.6833118,+4532963297,https://guide.michelin.com/en/capital-region/copenhagen/restaurant/noma,https://noma.dk,"3 Stars",1,"Garden or park,Great view,Wheelchair access","This elegant yet relaxed waterside restaurant offers a unique experience, from the greenhouses at the entrance to the ingredients on the plate. The test kitchen is one of the most advanced in the world and offers a tasting menu of creative, complex dishes with vivid natural flavours. Professional, informal service puts guests at ease. Book well in advance."
"Jordnær","Gentoftegade 29, Gentofte, 2800, Denmark","Gentofte, Denmark","€€€€",Creative,12.5412347,55.7481416,+4522408020,https://guide.michelin.com/en/capital-region/gentofte_1373269/restaurant/jordnaer,http://www.restaurantjordnaer.dk/,"3 Stars",0,"Car park,Interesting wine list","Chef-Owner Eric Kragh Vildgaard is the driving force behind this remarkable dining experience, demonstrating enormous technical skill across his procession of bold and creative dishes, all founded on seafood and vegetable produce of the utmost quality. The cooking varies between the wisely restrained (the pure, precise hamachi, ponzu and wasabi) and the hyper-detailed (the stunningly plated, multi-layered chawanmushi). Tina oversees the charming service in this stylish and sophisticated oasis, which is expertly run at every turn."
Geranium,"Per Henrik Lings Allé, Parken National Stadium, Copenhagen, 2100 Ø, Denmark","Copenhagen, Denmark","€€€€","Creative, Contemporary",12.5725289,55.7040847,+4569960020,https://guide.michelin.com/en/capital-region/copenhagen/restaurant/geranium,https://www.geranium.dk/,"3 Stars",0,"Air conditioning,Car park,Great view,Interesting wine list,Restaurant offering vegetarian menus,Wheelchair access","Located on the 8th floor of the National Football Stadium, this luxurious restaurant boasts panoramic park views and provides a truly singular dining experience. The surprise, meat-free tasting menu comprises many beautifully presented dishes, each one as highly creative and impeccably precise as the last. First-rate ingredients and exceptional technique combine to create layers of flavour in every mouthful, and the poised, disarmingly hospitable service team are equally impressive."
RE-NAA,"Nordbøgata 8, Stavanger, 4006, Norway","Stavanger, Norway","€€€€","Creative, Seafood",5.7308447,58.9739705,+4751551111,https://guide.michelin.com/en/rogaland/stavanger/restaurant/re-naa,https://www.restaurantrenaa.no/,"3 Stars",0,"Air conditioning,Interesting wine list,Wheelchair access","The kitchen quite literally takes centre stage at this impeccable restaurant, sitting in the middle of the stylish room and providing a stage for the chefs to prepare intricate, superbly crafted dishes. Top-notch local fish and shellfish underpins the cooking, with supreme skill evident in the refined balance between the delicate seafood flavours and some stronger components – the grilled scallop with sea buckthorn and pumpkin sauce is a perfect example. The menu has around 20 servings and every aspect unfolds masterfully thanks to the exceptional kitchen and service teams."
Maaemo,"Dronning Eufemias gate 23, Oslo, 0194, Norway","Oslo, Norway","€€€€","Modern Cuisine, Creative",10.7586363,59.9075293,+4722179969,https://guide.michelin.com/en/oslo-region/oslo/restaurant/maaemo-1194933,http://www.maaemo.no,"3 Stars",1,"Air conditioning","Time seems to stand still when you dine at this truly exceptional restaurant, such is its overwhelming quality. The unique dining experience begins with a drink in the cosy lounge before moving into a dramatic, high-ceilinged dining room with a theatrically lit open kitchen. A surprise seasonal tasting menu comprises a succession of expertly crafted, consistently memorable dishes that deliver sublime flavours and textures in superbly conceived combinations."
Taian,"1-21-2 Shimanouchi, Chuo-ku, Osaka, 542-0082, Japan","Osaka, Japan","¥¥¥",Japanese,135.507205,34.673353,+81661200790,https://guide.michelin.com/en/osaka-region/osaka/restaurant/taian,"","3 Stars",0,"Air conditioning,Counter dining","Cuisine that does not change does not improve. To advance the craft he learned at a ryotei, Hitoshi Takahata has brought it to a counter-style kappo. His omakase menu, for example, bends standard practice by letting guests choose grilled items. Grilled spareribs are prepared with soy sauce, honey and red wine, elevating this Japanese favourite. The calligraphed tablet is written by Takahata’s father; artwork is the handiwork of his daughter; the proprietress handles customer service. A restaurant supported by a family’s love."
Hyotei,"35 Nanzenji Kusagawacho, Sakyo-ku, Kyoto, 606-8437, Japan","Kyoto, Japan","¥¥¥¥",Japanese,135.786742,35.011355,+81757714116,https://guide.michelin.com/en/kyoto-region/kyoto/restaurant/hyotei,http://hyotei.co.jp/,"3 Stars",0,"Air conditioning,Car park,Shoes must be removed","This traditional restaurant began its 450-year history as a teahouse on the approach to Nanzen-ji Temple. The premises have retained much of their character while accruing features from each passing era, and the same is true of the fare. Two generations have combined fluidity with constancy, layering gradual innovation on top of unchanging Hyotei tradition. Soup made with dried tuna instead of dried bonito was the innovation of Eiichi Takahashi, while tomato soy sauce with decorative sashimi of Akashi sea bream of current owner-chef Yoshihiro Takahashi."
